GRID_OID,NON_ANTHROPISED,ANTHROPISED,NON_ANTHROPISED_A,ANTHROPISED_A,TOTAL_A
289,840,52,0.941704036,0.058295964,1
290,175,17,0.911458333,0.088541667,1
300,136,116,0.53968254,0.46031746,1
301,2225,258,0.896093435,0.103906565,1
302,3468,223,0.939582769,0.060417231,1
303,3188,198,0.941523922,0.058476078,1
353,3212,590,0.844818517,0.155181483,1
354,6222,339,0.948331047,0.051668953,1
355,6491,70,0.989330895,0.010669105,1
356,6015,134,0.978207839,0.021792161,1
357,1308,198,0.868525896,0.131474104,1
402,182,59,0.755186722,0.244813278,1
403,3267,90,0.973190349,0.026809651,1
404,5285,170,0.96883593,0.03116407,1
405,5823,156,0.97390868,0.02609132,1
406,6506,55,0.991617132,0.008382868,1
407,6415,146,0.977747295,0.022252705,1
408,6469,92,0.985977747,0.014022253,1
409,6273,281,0.95712542,0.04287458,1
410,825,603,0.577731092,0.422268908,1
454,3004,47,0.984595215,0.015404785,1
455,6180,145,0.977075099,0.022924901,1
456,6410,151,0.976985216,0.023014784,1
457,6386,175,0.973327237,0.026672763,1
458,6457,104,0.984148758,0.015851242,1
459,6505,56,0.991464716,0.008535284,1
460,6527,34,0.994817863,0.005182137,1
461,6486,75,0.988568816,0.011431184,1
462,3414,773,0.815380941,0.184619059,1
504,3032,312,0.906698565,0.093301435,1
505,4641,232,0.952390724,0.047609276,1
506,6097,102,0.983545733,0.016454267,1
507,6511,50,0.99237921,0.00762079,1
508,6535,26,0.996037189,0.003962811,1
509,6500,61,0.990702637,0.009297363,1
510,6530,31,0.995275111,0.004724889,1
511,6530,31,0.995275111,0.004724889,1
512,6487,74,0.988721232,0.011278768,1
513,6522,39,0.994055784,0.005944216,1
514,6274,287,0.956256668,0.043743332,1
515,4742,1541,0.754734999,0.245265001,1
516,261,101,0.720994475,0.279005525,1
556,530,199,0.72702332,0.27297668,1
557,6239,245,0.962214682,0.037785318,1
558,6472,89,0.986434995,0.013565005,1
559,6532,29,0.995579942,0.004420058,1
560,6521,40,0.993903368,0.006096632,1
561,6510,51,0.992226795,0.007773205,1
562,6494,67,0.989788142,0.010211858,1
563,6537,24,0.996342021,0.003657979,1
564,6542,19,0.9971041,0.0028959,1
565,6534,27,0.995884774,0.004115226,1
566,6536,25,0.996189605,0.003810395,1
567,6487,74,0.988721232,0.011278768,1
568,6491,70,0.989330895,0.010669105,1
569,3197,263,0.923988439,0.076011561,1
571,856,125,0.872579001,0.127420999,1
572,1254,86,0.935820896,0.064179104,1
610,2216,369,0.857253385,0.142746615,1
611,3486,91,0.974559687,0.025440313,1
612,3494,307,0.919231781,0.080768219,1
613,5082,1161,0.814031716,0.185968284,1
614,3010,380,0.887905605,0.112094395,1
615,438,92,0.826415094,0.173584906,1
616,1300,83,0.939985539,0.060014461,1
617,1373,11,0.992052023,0.007947977,1
618,1566,24,0.98490566,0.01509434,1
619,3030,119,0.962210225,0.037789775,1
620,5637,114,0.98017736,0.01982264,1
621,4785,238,0.952617957,0.047382043,1
622,6100,348,0.946029777,0.053970223,1
623,2200,302,0.879296563,0.120703437,1
624,5530,512,0.915259848,0.084740152,1
625,6491,70,0.989330895,0.010669105,1
626,2175,156,0.933075933,0.066924067,1
666,94,77,0.549707602,0.450292398,1
674,210,12,0.945945946,0.054054054,1
675,266,301,0.469135802,0.530864198,1
676,1568,311,0.834486429,0.165513571,1
677,2069,155,0.930305755,0.069694245,1
678,6282,214,0.96705665,0.03294335,1
679,5984,197,0.968128135,0.031871865,1
680,2559,163,0.940117561,0.059882439,1
725,126,0,1,0,1
726,603,132,0.820408163,0.179591837,1
731,5016,298,0.943921716,0.056078284,1
732,6500,61,0.990702637,0.009297363,1
733,6498,63,0.990397805,0.009602195,1
734,1225,72,0.944487278,0.055512722,1
772,101,9,0.918181818,0.081818182,1
784,1529,156,0.907418398,0.092581602,1
785,3955,232,0.944590399,0.055409601,1
786,6470,91,0.986130163,0.013869837,1
787,1495,269,0.847505669,0.152494331,1
803,954,0,1,0,1
804,2579,62,0.976524044,0.023475956,1
805,5507,22,0.99602098,0.00397902,1
806,2834,97,0.966905493,0.033094507,1
838,4212,292,0.935168739,0.064831261,1
839,6416,145,0.97789971,0.02210029,1
840,6341,190,0.970907977,0.029092023,1
841,5004,113,0.977916748,0.022083252,1
842,3869,206,0.949447853,0.050552147,1
856,1144,127,0.900078678,0.099921322,1
857,6145,193,0.969548754,0.030451246,1
858,6529,32,0.995122695,0.004877305,1
859,5004,491,0.910646042,0.089353958,1
860,2417,754,0.76222012,0.23777988,1
861,5104,38,0.992609879,0.007390121,1
862,652,17,0.974588939,0.025411061,1
890,381,116,0.766599598,0.233400402,1
891,6380,178,0.972857579,0.027142421,1
892,6509,52,0.992074379,0.007925621,1
893,6530,31,0.995275111,0.004724889,1
894,6483,78,0.988111568,0.011888432,1
895,4029,117,0.971780029,0.028219971,1
909,716,5,0.993065187,0.006934813,1
910,6460,58,0.991101565,0.008898435,1
911,6466,95,0.9855205,0.0144795,1
912,6303,258,0.960676726,0.039323274,1
913,6463,98,0.985063253,0.014936747,1
914,6536,25,0.996189605,0.003810395,1
915,2045,32,0.984593163,0.015406837,1
943,2440,172,0.934150077,0.065849923,1
944,6367,194,0.970431337,0.029568663,1
945,6536,25,0.996189605,0.003810395,1
946,6548,13,0.998018595,0.001981405,1
947,6082,42,0.993141737,0.006858263,1
948,2511,52,0.979711276,0.020288724,1
963,5473,76,0.986303839,0.013696161,1
964,6432,129,0.980338363,0.019661637,1
965,6425,136,0.979271453,0.020728547,1
966,6480,81,0.987654321,0.012345679,1
967,6537,24,0.996342021,0.003657979,1
968,3125,12,0.996174689,0.003825311,1
995,537,125,0.811178248,0.188821752,1
996,6380,70,0.989147287,0.010852713,1
997,6521,40,0.993903368,0.006096632,1
998,6275,106,0.983388184,0.016611816,1
999,2379,76,0.96904277,0.03095723,1
1000,607,27,0.957413249,0.042586751,1
1015,354,1,0.997183099,0.002816901,1
1016,4365,226,0.950773252,0.049226748,1
1017,6509,52,0.992074379,0.007925621,1
1018,6510,51,0.992226795,0.007773205,1
