GRID_OID,PLAIN,HILL,MOUNTAIN,PLAIN_M,HILL_M,MOUNTAIN_M,TOTAL_M
289,80,648,64,0.1,0.82,0.08,1
290,16,200,0,0.07,0.93,0,1
300,264,0,0,1,0,0,1
301,1162,1292,0,0.47,0.53,0,1
302,2184,1550,0,0.58,0.42,0,1
303,2818,466,0,0.86,0.14,0,1
353,2672,1087,0,0.71,0.29,0,1
354,2610,3697,254,0.4,0.56,0.04,1
355,805,5282,474,0.12,0.81,0.07,1
356,1276,4819,0,0.21,0.79,0,1
357,1409,64,0,0.96,0.04,0,1
402,159,59,0,0.73,0.27,0,1
403,388,2905,0,0.12,0.88,0,1
404,1400,4113,0,0.25,0.75,0,1
405,1340,4669,0,0.22,0.78,0,1
406,1204,5229,128,0.18,0.8,0.02,1
407,1180,5181,200,0.18,0.79,0.03,1
408,567,4998,996,0.09,0.76,0.15,1
409,1233,5139,180,0.19,0.78,0.03,1
410,1024,372,0,0.73,0.27,0,1
454,900,2090,0,0.3,0.7,0,1
455,117,6115,24,0.02,0.98,0,1
456,160,6385,16,0.02,0.97,0,1
457,228,6333,0,0.03,0.97,0,1
458,128,6267,166,0.02,0.96,0.03,1
459,16,5879,666,0,0.9,0.1,1
460,932,5597,32,0.14,0.85,0,1
461,4793,1768,0,0.73,0.27,0,1
462,3185,947,0,0.77,0.23,0,1
504,2892,420,0,0.87,0.13,0,1
505,2812,2060,0,0.58,0.42,0,1
506,840,4936,400,0.14,0.8,0.06,1
507,16,4969,1576,0,0.76,0.24,1
508,0,4412,2149,0,0.67,0.33,1
509,0,6062,499,0,0.92,0.08,1
510,16,6449,96,0,0.98,0.01,1
511,0,6138,423,0,0.94,0.06,1
512,52,5904,605,0.01,0.9,0.09,1
513,200,5913,448,0.03,0.9,0.07,1
514,664,5769,128,0.1,0.88,0.02,1
515,1222,4370,672,0.2,0.7,0.11,1
516,272,76,0,0.78,0.22,0,1
556,576,16,0,0.97,0.03,0,1
557,4052,2437,0,0.62,0.38,0,1
558,612,5845,104,0.09,0.89,0.02,1
559,176,6313,72,0.03,0.96,0.01,1
560,64,5876,621,0.01,0.9,0.09,1
561,32,5475,1054,0,0.83,0.16,1
562,32,5344,1185,0,0.81,0.18,1
563,4,4216,2341,0,0.64,0.36,1
564,0,3919,2642,0,0.6,0.4,1
565,0,4274,2287,0,0.65,0.35,1
566,0,4713,1848,0,0.72,0.28,1
567,240,5093,1228,0.04,0.78,0.19,1
568,96,4277,2188,0.01,0.65,0.33,1
569,528,1876,939,0.16,0.56,0.28,1
571,136,761,4,0.15,0.84,0,1
572,336,981,4,0.25,0.74,0,1
610,940,1606,16,0.37,0.63,0.01,1
611,104,2868,524,0.03,0.82,0.15,1
612,920,2639,272,0.24,0.69,0.07,1
613,904,2643,2611,0.15,0.43,0.42,1
614,344,2339,626,0.1,0.71,0.19,1
615,80,508,7,0.13,0.85,0.01,1
616,108,932,303,0.08,0.69,0.23,1
617,32,1261,106,0.02,0.9,0.08,1
618,16,1010,541,0.01,0.64,0.35,1
619,188,1883,1058,0.06,0.6,0.34,1
620,0,2555,3083,0,0.45,0.55,1
621,292,2694,2044,0.06,0.54,0.41,1
622,456,2863,3107,0.07,0.45,0.48,1
623,288,1307,922,0.11,0.52,0.37,1
624,280,2978,2727,0.05,0.5,0.46,1
625,0,2096,4465,0,0.32,0.68,1
626,776,1481,0,0.34,0.66,0,1
666,48,100,0,0.32,0.68,0,1
674,0,164,0,0,1,0,1
675,280,210,0,0.57,0.43,0,1
676,180,1645,56,0.1,0.87,0.03,1
677,156,1333,720,0.07,0.6,0.33,1
678,1212,3669,1616,0.19,0.56,0.25,1
679,436,3597,2160,0.07,0.58,0.35,1
680,584,1796,368,0.21,0.65,0.13,1
725,64,80,16,0.4,0.5,0.1,1
726,12,600,64,0.02,0.89,0.09,1
731,1944,3260,24,0.37,0.62,0,1
732,84,5725,752,0.01,0.87,0.11,1
733,40,4069,2452,0.01,0.62,0.37,1
734,545,679,0,0.45,0.55,0,1
772,32,32,0,0.5,0.5,0,1
784,100,1470,24,0.06,0.92,0.02,1
785,636,3426,80,0.15,0.83,0.02,1
786,144,5865,552,0.02,0.89,0.08,1
787,793,971,0,0.45,0.55,0,1
803,464,528,0,0.47,0.53,0,1
804,1920,584,0,0.77,0.23,0,1
805,568,4216,632,0.1,0.78,0.12,1
806,776,1820,164,0.28,0.66,0.06,1
838,1308,1776,1392,0.29,0.4,0.31,1
839,368,4093,2100,0.06,0.62,0.32,1
840,243,3995,2272,0.04,0.61,0.35,1
841,1380,3384,316,0.27,0.67,0.06,1
842,1464,2528,0,0.37,0.63,0,1
856,613,620,0,0.5,0.5,0,1
857,2442,3913,0,0.38,0.62,0,1
858,1928,3640,993,0.29,0.55,0.15,1
859,3714,1593,112,0.69,0.29,0.02,1
860,2296,810,0,0.74,0.26,0,1
861,884,3362,816,0.17,0.66,0.16,1
862,304,306,0,0.5,0.5,0,1
890,44,449,0,0.09,0.91,0,1
891,12,3489,3060,0,0.53,0.47,1
892,16,2717,3828,0,0.41,0.58,1
893,0,3481,3080,0,0.53,0.47,1
894,16,5632,913,0,0.86,0.14,1
895,1645,2466,0,0.4,0.6,0,1
909,104,600,0,0.15,0.85,0,1
910,147,4668,1716,0.02,0.71,0.26,1
911,3879,2018,664,0.59,0.31,0.1,1
912,5221,1340,0,0.8,0.2,0,1
913,1162,4087,1312,0.18,0.62,0.2,1
914,360,5281,920,0.05,0.8,0.14,1
915,892,1027,0,0.46,0.54,0,1
943,128,1188,1198,0.05,0.47,0.48,1
944,828,4218,1515,0.13,0.64,0.23,1
945,212,3250,3099,0.03,0.5,0.47,1
946,28,2189,4344,0,0.33,0.66,1
947,168,4703,1218,0.03,0.77,0.2,1
948,720,1866,0,0.28,0.72,0,1
963,2751,2760,36,0.5,0.5,0.01,1
964,3605,2948,8,0.55,0.45,0,1
965,2023,4506,32,0.31,0.69,0,1
966,408,5602,551,0.06,0.85,0.08,1
967,212,4881,1468,0.03,0.74,0.22,1
968,240,2695,140,0.08,0.88,0.05,1
995,231,433,4,0.35,0.65,0.01,1
996,81,2168,4173,0.01,0.34,0.65,1
997,816,5428,317,0.12,0.83,0.05,1
998,2615,3400,333,0.41,0.54,0.05,1
999,650,1535,238,0.27,0.63,0.1,1
1000,192,421,0,0.31,0.69,0,1
1015,356,0,0,1,0,0,1
1016,4591,32,0,0.99,0.01,0,1
1017,2445,3908,208,0.37,0.6,0.03,1
1018,474,5719,368,0.07,0.87,0.06,1
1019,262,1820,4479,0.04,0.28,0.68,1
1020,0,1997,4564,0,0.3,0.7,1
1021,1000,2679,24,0.27,0.72,0.01,1
1048,384,1409,740,0.15,0.56,0.29,1
1049,0,3030,3531,0,0.46,0.54,1
1050,64,2763,3734,0.01,0.42,0.57,1
1051,980,2330,2928,0.16,0.37,0.47,1
1052,168,912,0,0.16,0.84,0,1
1058,750,16,0,0.98,0.02,0,1
1059,4042,236,0,0.94,0.06,0,1
1060,1438,268,0,0.84,0.16,0,1
1069,2322,2789,532,0.41,0.49,0.09,1
1070,3402,3159,0,0.52,0.48,0,1
1071,512,5593,456,0.08,0.85,0.07,1
1072,0,3119,3442,0,0.48,0.52,1
1073,28,2110,4423,0,0.32,0.67,1
1074,104,2258,1345,0.03,0.61,0.36,1
1098,336,771,0,0.3,0.7,0,1
1099,160,3159,1512,0.03,0.65,0.31,1
1100,188,3371,1292,0.04,0.69,0.27,1
1101,16,2181,3972,0,0.35,0.64,1
1102,0,2821,3740,0,0.43,0.57,1
1103,0,4188,2373,0,0.64,0.36,1
1104,160,4897,1504,0.02,0.75,0.23,1
1105,1360,2098,0,0.39,0.61,0,1
1111,3303,60,0,0.98,0.02,0,1
1112,6217,344,0,0.95,0.05,0,1
1113,4263,80,0,0.98,0.02,0,1
1121,48,422,120,0.08,0.72,0.2,1
1122,976,4921,56,0.16,0.83,0.01,1
1123,2631,3646,284,0.4,0.56,0.04,1
1124,1390,4151,1020,0.21,0.63,0.16,1
1125,98,5763,700,0.01,0.88,0.11,1
1126,164,5213,1184,0.02,0.79,0.18,1
1127,1042,2591,328,0.26,0.65,0.08,1
1150,36,216,0,0.14,0.86,0,1
1151,763,4425,812,0.13,0.74,0.14,1
1152,0,4045,2516,0,0.62,0.38,1
1153,696,1453,4412,0.11,0.22,0.67,1
1154,652,2505,3404,0.1,0.38,0.52,1
1155,196,4206,2159,0.03,0.64,0.33,1
1156,64,4321,2176,0.01,0.66,0.33,1
1157,108,6421,32,0.02,0.98,0,1
1158,2947,3578,0,0.45,0.55,0,1
1159,1849,24,0,0.99,0.01,0,1
