GRID_OID,ROCK,NON_ROCK,ROCK_S,NON_ROCK_S,TOTAL_S
289,0,768,0,1,1
290,0,256,0,1,1
300,0,256,0,1,1
301,1040,1296,0.45,0.55,1
302,2336,1552,0.6,0.4,1
303,1840,1296,0.59,0.41,1
353,256,3648,0.07,0.93,1
354,4225,2336,0.64,0.36,1
355,6561,0,1,0,1
356,5489,544,0.91,0.09,1
357,1280,0,1,0,1
402,0,256,0,1,1
403,1040,2080,0.33,0.67,1
404,1824,3360,0.35,0.65,1
405,1296,4432,0.23,0.77,1
406,784,5777,0.12,0.88,1
407,2608,3953,0.4,0.6,1
408,5200,1361,0.79,0.21,1
409,6561,0,1,0,1
410,1345,0,1,0,1
454,528,2592,0.17,0.83,1
455,0,6289,0,1,1
456,2113,4448,0.32,0.68,1
457,1344,5217,0.2,0.8,1
458,1552,5009,0.24,0.76,1
459,256,6305,0.04,0.96,1
460,1840,4721,0.28,0.72,1
461,2129,4432,0.32,0.68,1
462,1312,2657,0.33,0.67,1
504,2320,784,0.75,0.25,1
505,1824,3360,0.35,0.65,1
506,1841,4448,0.29,0.71,1
507,2320,4241,0.35,0.65,1
508,3376,3185,0.51,0.49,1
509,256,6305,0.04,0.96,1
510,1040,5521,0.16,0.84,1
511,256,6305,0.04,0.96,1
512,784,5777,0.12,0.88,1
513,1824,4737,0.28,0.72,1
514,4704,1857,0.72,0.28,1
515,6289,0,1,0,1
516,0,512,0,1,1
556,256,0,1,0,1
557,2369,4192,0.36,0.64,1
558,1040,5521,0.16,0.84,1
559,2624,3937,0.4,0.6,1
560,512,6049,0.08,0.92,1
561,1024,5537,0.16,0.84,1
562,1552,5009,0.24,0.76,1
563,1824,4737,0.28,0.72,1
564,3392,3169,0.52,0.48,1
565,2080,4481,0.32,0.68,1
566,2848,3713,0.43,0.57,1
567,6305,256,0.96,0.04,1
568,4753,1808,0.72,0.28,1
569,1296,2096,0.38,0.62,1
571,784,0,1,0,1
572,1296,0,1,0,1
610,817,1584,0.34,0.66,1
611,2624,817,0.76,0.24,1
612,2080,1873,0.53,0.47,1
613,4721,1584,0.75,0.25,1
614,2352,1105,0.68,0.32,1
615,544,0,1,0,1
616,0,1361,0,1,1
617,0,1377,0,1,1
618,1344,289,0.82,0.18,1
619,1857,1328,0.58,0.42,1
620,3457,2064,0.63,0.37,1
621,2096,2913,0.42,0.58,1
622,1296,5265,0.2,0.8,1
623,1312,1024,0.56,0.44,1
624,4513,1536,0.75,0.25,1
625,3185,3376,0.49,0.51,1
626,2064,272,0.88,0.12,1
666,272,0,1,0,1
674,256,0,1,0,1
675,272,0,1,0,1
676,1873,272,0.87,0.13,1
677,1601,544,0.75,0.25,1
678,768,5793,0.12,0.88,1
679,1601,4688,0.25,0.75,1
680,1568,1024,0.6,0.4,1
725,256,0,1,0,1
726,528,0,1,0,1
731,2336,2929,0.44,0.56,1
732,256,6305,0.04,0.96,1
733,2385,4176,0.36,0.64,1
734,768,528,0.59,0.41,1
772,256,0,1,0,1
784,1889,0,1,0,1
785,2368,2113,0.53,0.47,1
786,2352,4209,0.36,0.64,1
787,1552,272,0.85,0.15,1
803,1024,0,1,0,1
804,2576,0,1,0,1
805,5456,0,1,0,1
806,2608,0,1,0,1
838,2848,1840,0.61,0.39,1
839,2608,3953,0.4,0.6,1
840,4465,2096,0.68,0.32,1
841,1280,3904,0.25,0.75,1
842,1552,2608,0.37,0.63,1
856,1040,0,1,0,1
857,5489,800,0.87,0.13,1
858,6561,0,1,0,1
859,4481,256,0.95,0.05,1
860,1024,1824,0.36,0.64,1
861,4928,0,1,0,1
862,512,0,1,0,1
890,256,0,1,0,1
891,4737,1824,0.72,0.28,1
892,833,5728,0.13,0.87,1
893,768,5793,0.12,0.88,1
894,3408,3153,0.52,0.48,1
895,544,3681,0.13,0.87,1
909,512,0,1,0,1
910,6305,256,0.96,0.04,1
911,6305,256,0.96,0.04,1
912,3441,3120,0.52,0.48,1
913,4721,1840,0.72,0.28,1
914,6561,0,1,0,1
915,1296,768,0.63,0.37,1
943,2096,512,0.8,0.2,1
944,4481,2080,0.68,0.32,1
945,1824,4737,0.28,0.72,1
946,3120,3441,0.48,0.52,1
947,3697,2352,0.61,0.39,1
948,784,1857,0.3,0.7,1
963,3169,1824,0.63,0.37,1
964,4464,2097,0.68,0.32,1
965,784,5777,0.12,0.88,1
966,4225,2336,0.64,0.36,1
967,6017,544,0.92,0.08,1
968,2608,256,0.91,0.09,1
995,512,0,1,0,1
996,6305,256,0.96,0.04,1
997,3697,2864,0.56,0.44,1
998,2417,3888,0.38,0.62,1
999,1377,1296,0.52,0.48,1
1000,0,800,0,1,1
1015,0,512,0,1,1
1016,256,3904,0.06,0.94,1
1017,4225,2336,0.64,0.36,1
1018,3376,3185,0.51,0.49,1
1019,5761,800,0.88,0.12,1
1020,6561,0,1,0,1
1021,3697,528,0.88,0.12,1
1048,2336,0,1,0,1
1049,6561,0,1,0,1
1050,4993,1568,0.76,0.24,1
1051,2064,4225,0.33,0.67,1
1052,768,256,0.75,0.25,1
1058,768,0,1,0,1
1059,3888,0,1,0,1
1060,2064,0,1,0,1
1069,2352,3185,0.42,0.58,1
1070,5184,1377,0.79,0.21,1
1071,6561,0,1,0,1
1072,6561,0,1,0,1
1073,6561,0,1,0,1
1074,3120,561,0.85,0.15,1
1098,784,512,0.6,0.4,1
1099,3632,1056,0.77,0.23,1
1100,4672,0,1,0,1
1101,5265,1024,0.84,0.16,1
1102,6561,0,1,0,1
1103,5472,1089,0.83,0.17,1
1104,6033,528,0.92,0.08,1
1105,2080,1312,0.61,0.39,1
1111,3392,0,1,0,1
1112,6561,0,1,0,1
1113,3936,0,1,0,1
1121,512,0,1,0,1
1122,5777,0,1,0,1
1123,6561,0,1,0,1
1124,6289,272,0.96,0.04,1
1125,6561,0,1,0,1
1126,5777,784,0.88,0.12,1
1127,2864,1040,0.73,0.27,1
1150,0,272,0,1,1
1151,5249,800,0.87,0.13,1
1152,6561,0,1,0,1
1153,5537,1024,0.84,0.16,1
1154,5793,768,0.88,0.12,1
1155,5537,1024,0.84,0.16,1
1156,5777,784,0.88,0.12,1
1157,1889,4672,0.29,0.71,1
1158,1089,5472,0.17,0.83,1
1159,512,1296,0.28,0.72,1
1161,2336,0,1,0,1
1162,3888,0,1,0,1
1163,4144,0,1,0,1
1164,6289,0,1,0,1
1165,5793,0,1,0,1
1166,1345,256,0.84,0.16,1
1174,3888,0,1,0,1
1175,6561,0,1,0,1
1176,6561,0,1,0,1
1177,6561,0,1,0,1
1178,6561,0,1,0,1
1179,6561,0,1,0,1
1180,4481,1568,0.74,0.26,1
1181,256,272,0.48,0.52,1
1200,512,0,1,0,1
1201,1040,0,1,0,1
1202,1040,0,1,0,1
1203,784,1024,0.43,0.57,1
1204,4465,2096,0.68,0.32,1
1205,6561,0,1,0,1
1206,6272,289,0.96,0.04,1
1207,3937,2624,0.6,0.4,1
1208,6561,0,1,0,1
1209,6049,512,0.92,0.08,1
1210,784,5777,0.12,0.88,1
1211,768,5793,0.12,0.88,1
1212,5745,544,0.91,0.09,1
1213,3888,768,0.84,0.16,1
1214,6000,289,0.95,0.05,1
1215,6561,0,1,0,1
1216,6561,0,1,0,1
1217,4753,0,1,0,1
1218,544,0,1,0,1
1226,512,0,1,0,1
1227,5521,256,0.96,0.04,1
1228,4481,256,0.95,0.05,1
1229,5793,768,0.88,0.12,1
1230,6049,512,0.92,0.08,1
1231,6561,0,1,0,1
1232,6049,512,0.92,0.08,1
1233,3681,544,0.87,0.13,1
1252,528,0,1,0,1
1253,1824,256,0.88,0.12,1
1254,3136,512,0.86,0.14,1
1255,6049,512,0.92,0.08,1
1256,6561,0,1,0,1
1257,6561,0,1,0,1
1258,6561,0,1,0,1
1259,5521,1040,0.84,0.16,1
1260,4944,1617,0.75,0.25,1
1261,5281,1280,0.8,0.2,1
1262,528,6033,0.08,0.92,1
1263,2080,4481,0.32,0.68,1
1264,6017,544,0.92,0.08,1
1265,6561,0,1,0,1
1266,6561,0,1,0,1
1267,6561,0,1,0,1
1268,3969,0,1,0,1
1269,1617,0,1,0,1
1280,800,0,1,0,1
1282,544,256,0.68,0.32,1
1283,5793,0,1,0,1
1284,6561,0,1,0,1
1285,5217,816,0.86,0.14,1
1286,784,0,1,0,1
1305,528,2336,0.18,0.82,1
1306,4225,2336,0.64,0.36,1
1307,6049,512,0.92,0.08,1
1308,6561,0,1,0,1
1309,5761,800,0.88,0.12,1
1310,5281,1280,0.8,0.2,1
1311,5793,768,0.88,0.12,1
1312,6305,256,0.96,0.04,1
1313,5009,1552,0.76,0.24,1
1314,2929,3632,0.45,0.55,1
1315,5233,1328,0.8,0.2,1
1316,6561,0,1,0,1
1317,6561,0,1,0,1
1318,6561,0,1,0,1
1319,4753,0,1,0,1
1320,1345,0,1,0,1
1337,3201,0,1,0,1
1338,1856,0,1,0,1
1354,2096,256,0.89,0.11,1
1355,272,1280,0.18,0.82,1
1356,2336,512,0.82,0.18,1
1357,2336,768,0.75,0.25,1
1358,6017,272,0.96,0.04,1
1359,5472,1089,0.83,0.17,1
1360,4977,1584,0.76,0.24,1
1361,6561,0,1,0,1
1362,6016,545,0.92,0.08,1
1363,2624,3937,0.4,0.6,1
1364,3169,3392,0.48,0.52,1
1365,0,6561,0,1,1
1366,0,6561,0,1,1
1367,528,6033,0.08,0.92,1
1368,4209,2352,0.64,0.36,1
1369,4753,0,1,0,1
1370,2161,0,1,0,1
1371,272,0,1,0,1
1405,2080,256,0.89,0.11,1
1406,2848,1552,0.65,0.35,1
1407,3169,3392,0.48,0.52,1
1408,5777,784,0.88,0.12,1
1409,6561,0,1,0,1
1410,6033,528,0.92,0.08,1
1411,5777,784,0.88,0.12,1
1412,4704,1857,0.72,0.28,1
1413,6033,528,0.92,0.08,1
